
42.0,82.0,27.0,33.0,6.0,27.0,0.49,61.0,1.0
87.0,199.0,64.0,72.0,12.0,41.0,0.83,53.0,2.0
69.0,132.0,50.0,57.0,8.0,57.0,0.73,36.0,2.0
33.0,42.0,18.0,21.0,5.0,58.0,0.57,25.0,1.0
45.0,101.0,30.0,26.0,5.0,49.0,0.73,26.0,1.0
40.0,78.0,26.0,27.0,5.0,43.0,0.56,40.0,1.0
40.0,60.0,27.0,32.0,5.0,49.0,0.59,37.0,1.0
74.0,196.0,53.0,57.0,7.0,39.0,0.78,59.0,2.0
36.0,74.0,23.0,27.0,5.0,42.0,0.58,40.0,1.0
26.0,38.0,16.0,18.0,5.0,46.0,0.53,28.0,1.0
28.0,43.0,15.0,16.0,5.0,54.0,0.61,20.0,1.0
56.0,113.0,39.0,42.0,7.0,51.0,1.14,13.0,2.0
102.0,188.0,76.0,62.0,7.0,55.0,1.13,28.0,3.0
98.0,169.0,73.0,78.0,6.0,66.0,0.92,45.0,2.0
140.0,299.0,105.0,86.0,8.0,50.0,1.16,68.0,3.0
52.0,114.0,29.0,57.0,7.0,41.0,0.59,45.0,2.0
99.0,282.0,73.0,114.0,12.0,79.0,1.08,22.0,2.0
110.0,246.0,83.0,103.0,10.0,74.0,0.99,41.0,3.0
101.0,229.0,75.0,91.0,10.0,77.0,1.07,28.0,3.0
132.0,301.0,96.0,76.0,11.0,50.0,0.97,44.0,3.0
61.0,138.0,43.0,63.0,11.0,66.0,0.73,37.0,2.0
110.0,283.0,82.0,102.0,14.0,84.0,1.05,29.0,3.0
124.0,304.0,93.0,110.0,15.0,103.0,1.17,36.0,3.0
132.0,270.0,99.0,106.0,13.0,93.0,1.15,43.0,3.0
49.0,51.0,32.0,44.0,8.0,56.0,0.61,50.0,1.0
35.0,13.0,14.0,34.0,5.0,22.0,0.43,62.0,1.0
38.0,13.0,17.0,36.0,6.0,43.0,0.48,48.0,1.0
71.0,159.0,51.0,53.0,8.0,63.0,0.82,28.0,2.0
75.0,158.0,45.0,74.0,6.0,52.0,0.73,45.0,2.0
49.0,70.0,24.0,52.0,6.0,60.0,0.58,29.0,1.0
40.0,66.0,12.0,22.0,4.0,20.0,0.5,69.0,1.0
80.0,218.0,57.0,69.0,5.0,29.0,0.82,59.0,2.0
77.0,160.0,53.0,59.0,6.0,28.0,0.77,71.0,2.0
89.0,203.0,65.0,60.0,8.0,34.0,1.27,36.0,2.0
132.0,289.0,84.0,136.0,7.0,27.0,1.01,59.0,3.0
61.0,66.0,18.0,70.0,5.0,22.0,0.45,69.0,2.0
64.0,142.0,42.0,56.0,6.0,29.0,0.76,51.0,2.0
46.0,127.0,25.0,35.0,5.0,14.0,0.57,70.0,1.0
35.0,92.0,10.0,23.0,4.0,14.0,0.39,66.0,1.0
36.0,84.0,10.0,18.0,4.0,12.0,0.43,70.0,1.0
33.0,80.0,15.0,25.0,5.0,16.0,0.48,64.0,1.0
41.0,103.0,25.0,29.0,6.0,23.0,0.61,63.0,1.0
37.0,65.0,22.0,26.0,5.0,31.0,0.58,60.0,1.0
